Time,Face,Voice,Status
0.0,Happy,Sad,FAKE / MISMATCH
0.97,Happy,Sad,FAKE / MISMATCH
1.94,Neutral,Sad,FAKE / MISMATCH
2.9,Neutral,Sad,FAKE / MISMATCH
3.87,Neutral,Sad,FAKE / MISMATCH
4.84,Neutral,Sad,FAKE / MISMATCH
5.81,Happy,Sad,FAKE / MISMATCH
6.77,Neutral,Sad,FAKE / MISMATCH
7.74,Neutral,Sad,FAKE / MISMATCH
8.71,Neutral,Sad,FAKE / MISMATCH
9.68,Neutral,Sad,FAKE / MISMATCH
10.65,Fear,Sad,FAKE / MISMATCH
11.61,Fear,Sad,FAKE / MISMATCH
12.58,Fear,Sad,FAKE / MISMATCH
13.55,Happy,Sad,FAKE / MISMATCH
14.52,Happy,Sad,FAKE / MISMATCH
15.49,Fear,Sad,FAKE / MISMATCH
16.45,Neutral,Sad,FAKE / MISMATCH
17.42,Neutral,Sad,FAKE / MISMATCH
18.39,Happy,Sad,FAKE / MISMATCH
19.36,Happy,Sad,FAKE / MISMATCH
20.32,Neutral,Sad,FAKE / MISMATCH
21.29,Happy,Sad,FAKE / MISMATCH
22.26,Neutral,Sad,FAKE / MISMATCH
23.23,Neutral,Sad,FAKE / MISMATCH
24.2,Neutral,Sad,FAKE / MISMATCH
25.16,Happy,Sad,FAKE / MISMATCH
26.13,Neutral,Sad,FAKE / MISMATCH
27.1,Neutral,Sad,FAKE / MISMATCH
28.07,Neutral,Sad,FAKE / MISMATCH
29.04,Neutral,Sad,FAKE / MISMATCH
30.0,Neutral,Sad,FAKE / MISMATCH
30.97,Neutral,Sad,FAKE / MISMATCH
